l4_txn_coredataset.send_bank_ctry_code,l4_txn_coredataset.bene_bank_ctry_code,txn_count
MA,ET,65
ME,AT,921
SI,XK,33
SN,SK,16
SY,HK,2
TZ,KY,8
UZ,PH,5
XK,IE,9
NULL,KP,1
AE,SE,5117
AM,KE,29
AO,IE,67
AT,DE,281917
AW,AE,34
BG,US,53123
BI,SS,6
BJ,RS,24
BS,IS,29
BW,ES,25
BZ,BS,1
CN,SB,31
CZ,GB,167417
GB,MM,1142
GE,JM,2
GH,GM,112
GN,AM,1
ID,TJ,3
IT,DJ,28
JO,MX,116
KN,SG,18
KZ,GG,67
LS,RU,10
ME,AU,22
MW,SD,1
NZ,TR,1042
OM,BR,206
PA,SA,63
PH,LA,173
SN,SL,61
SS,NL,197
SX,IL,9
TR,SZ,6
TW,NZ,6902
TZ,KZ,15
VE,FI,46
AU,CF,3
BH,TT,6
BO,MT,1
BS,IT,169
BW,ET,89
CK,VC,7
CN,SC,281
GB,MN,1843
GG,HN,5
GH,GN,185
GL,CN,6
IE,SK,261692
IL,LK,947
IT,DK,4649
JO,MY,2432
JP,LY,1
KZ,GH,37
LR,SV,2
MC,CV,8
MW,SE,138
MX,RE,2
MZ,PE,6
NA,JE,30
NG,DE,25659
NI,BE,98
OM,BS,7
PA,SB,1
PH,LB,141
PM,GB,23
PR,BB,285
SG,ZM,422
SX,IM,25
NULL,KR,370
AE,SG,82391
AM,KG,26
AU,CG,18
AW,AG,1
BF,VU,4
BJ,RU,44
BO,MU,2
CM,TD,1802
CX,ID,2
DZ,KR,942
EC,CR,3002
EE,AR,26
FI,BA,2962
GA,NO,3
GB,MO,2692
GE,JO,115
GN,AO,24
ID,TL,84
IE,SL,3249
JO,MZ,29
KZ,GI,52
LS,RW,10
MC,CW,12
NZ,TT,19
OM,BT,5
PA,SC,41
PG,MC,23
PH,LC,1
SK,VN,148
SM,TN,3
SN,SN,194519
SX,IN,45
UZ,PK,38
VC,HK,30
ZM,PE,306
AD,TH,1
AE,SH,6
AM,KH,1
AU,CH,13100
CH,YE,22
CN,SE,9842
CV,KE,11
CW,JE,33
CZ,GE,1327
FI,BB,7
GA,NP,4
GB,MP,3
GE,JP,4429
GH,GP,10
ID,TM,25
IE,SM,15544
IN,JM,241
IT,DM,2
MT,VG,4
MU,UG,3146
MW,SG,162
NI,BG,40
PK,ID,935
RO,NA,3
SS,NO,6
ST,MO,9
UZ,PL,190
AE,SI,798
AL,LI,5
AR,FI,213
AU,CI,272
BH,TW,748
BJ,RW,36
CZ,GF,12
EE,AT,2982
ET,VC,2
GB,MQ,261
GH,GQ,39
ID,TN,346
IE,SN,18841
IM,KN,70
KY,HK,1241
LU,PY,107
MC,CY,491
MD,BY,2425
MV,TH,3100
MZ,PH,207
NI,BH,1
NZ,TV,30
PA,SE,715
PK,IE,378
PR,BE,256
PS,AE,4643
SS,NP,33
VG,DM,1
AT,DJ,1
BO,MX,157
CK,VG,4
CL,UG,4
CM,TG,75
CN,SG,153869
CZ,GG,8
EE,AU,143
FI,BD,552
GB,MR,1052
GD,KR,2
GG,HR,29
GH,GR,226
GI,FR,41
GM,BR,2
GY,ZA,6
HR,BA,10270
ID,TO,7
IE,SO,213
IN,JO,1322
IT,DO,1383
LR,SZ,12
MC,CZ,24
MW,SI,5
NE,FI,3
NZ,TW,3509
OM,BW,30
VC,HN,1
ZM,PH,166
AE,SK,1289
AL,LK,2
AT,DK,1793
AU,CK,142
BG,UY,7
BO,MY,51
BQ,KY,1
BY,CY,2647
CM,TH,81
CN,SH,7
CV,KH,1
CZ,GH,267
ET,VE,1
FI,BE,3676
FJ,AE,119
GB,MS,8
GM,BS,1
HR,BB,13
ID,TP,2
IN,JP,20904
KR,OM,131
KW,JM,81
MV,TJ,3
NG,DJ,34
PA,SG,2198
PF,NG,1
PG,MG,5
PR,BG,17
SS,NR,1
SV,KR,958
TL,ZA,1
VA,JO,6
VG,DO,9
XK,IL,10
ZW,FI,10
NULL,KW,69
AE,SL,478
AO,IL,32
AU,CL,4183
BG,UZ,22
BH,TZ,108
BN,NZ,119
BO,MZ,3
BY,CZ,1823
BZ,BZ,4
CN,SI,473
CZ,GI,8
DK,ZW,296
DZ,KW,25
EC,CW,189
EE,AW,2
FI,BF,31
GB,MT,32845
GH,GT,6
GN,AT,38
IE,T2,127
KY,HN,427
KZ,GN,1
MW,SK,8
MZ,PK,635
NC,HK,158
NG,DK,2509
OM,BY,24
PR,BH,1
RO,NE,2
RS,JE,25
SL,US,4535
SN,SS,9
TZ,LB,240
VA,JP,7
AE,SM,68
AO,IM,331
AU,CM,136
FI,BG,484
GB,MU,40473
GG,HU,21
GN,AU,153
HK,ID,34664
HR,BD,83
ID,TR,2786
IE,SR,55183
IL,LR,359
IM,KR,281
IQ,GR,55
IR,FR,16
JM,PA,1715
JO,NA,12
JP,MA,970
KW,JO,5799
MW,SL,32
MZ,PL,150
NZ,TZ,625
PA,SI,73
PH,LI,108
SN,ST,2
ST,MT,1
SX,IT,24
TR,TC,1
TZ,LC,23
XK,IN,34
ZM,PK,184
NULL,KY,22
AD,TN,1
AE,SN,1424
AO,IN,318
AU,CN,112020
CI,XK,2
CN,SK,1593
CY,HK,33453
EC,CY,88
FI,BH,135
GB,MV,2454
HK,IE,8006
HR,BE,1284
IE,SS,1629
IL,LS,3
IS,ES,26750
KW,JP,939
NA,JM,3
NG,DM,1406
NI,BM,7
RO,NG,533
ST,MU,9
SY,HU,2
TR,TD,201
VE,FR,104
ZM,PL,15476
NULL,KZ,459
AE,SO,64
AF,RO,20
AR,FO,2
AT,DO,135
AU,CO,7087
CN,SL,90
EC,CZ,263
EE,AZ,99
FI,BI,19
GB,MW,8818
GD,KW,1
GH,GW,17
ID,TT,18
IE,ST,162
IL,LT,137
IS,ET,96
JP,MC,166
MT,VN,28
MV,TN,3
MW,SN,61
NC,HN,3
PA,SK,34
PH,LK,745
PL,HK,39628
TM,YE,1
US,WS,811
UZ,PS,2
CG,ZM,1
CN,SM,3
CR,OM,1
CW,JM,146
FI,BJ,126
GB,MX,79811
HR,BG,1413
IL,LU,1701
JP,MD,59
KM,TR,3
KY,HR,48
KZ,GR,320
LS,SA,2
LU,QA,142
LV,PA,1592
LY,MA,11
MD,CA,96
ME,BA,2206
MX,RO,304
NA,JO,1
NG,DO,88
NI,BO,61
PA,SL,2
PF,NL,20
PK,IL,1
PS,AL,6
RO,NI,5
RW,FI,44
SG,ZW,160
SM,TW,21
XK,IQ,2
CK,VN,1
CM,TN,245
CN,SN,479
CY,HN,161
CZ,GN,25
GB,MY,57439
GD,KY,3
GH,GY,13
HR,BH,11
IE,SV,8638
IL,LV,1417
JM,PE,47
JO,NE,7
JP,ME,7
NA,JP,12
PA,SM,4
PG,MM,56
PK,IM,60
PR,BM,109
PS,AM,52
TR,TG,61
AD,TR,2
AE,SR,180
AM,KR,781
AR,FR,2147
AU,CR,895
AW,AR,2
BH,UA,86
BJ,SA,16
BM,PA,815
BZ,CA,101
CM,TO,1
CN,SO,2
CO,RO,137
GA,NZ,7
GB,MZ,3915
HN,FI,21
HR,BI,8
ID,TW,29657
IM,KW,614
KY,HT,7
KZ,GT,13
PA,SN,16
PK,IN,3486
PL,HN,10
RU,HK,67167
SL,UY,14
ST,MY,6
SV,KY,41
TR,TH,4542
TV,PH,1
XK,IS,8
AE,SS,61
AF,RS,3
AO,IS,1
CW,JP,232
CZ,GP,34
FI,BM,63
HR,BJ,15
IE,SX,3216
JM,PG,1
JO,NG,255
JP,MG,234
KY,HU,38
LA,AU,53
LR,TD,5
ME,BD,3
MV,TR,343
MZ,PR,15
NC,HR,5
NE,FR,1710
NI,BR,361
NZ,UA,398
OM,CA,1264
PR,BO,24
RO,NL,19975
SM,TZ,1
SN,SZ,3
ST,MZ,6
TZ,LI,45
UA,FI,300
XK,IT,74
AE,ST,40
AO,IT,26
AW,AT,1
BG,VC,31
ET,VN,16
IE,SY,62
IM,KY,256
JM,PH,104
KN,SV,1
LV,PE,169
MC,DE,932
ME,BE,116
MU,US,255576
MX,RS,45
NI,BS,1
RS,JM,1
TR,TJ,416
ZM,PR,1
ZW,FR,278
NULL,LA,3
AF,RU,729
AL,LU,16
AW,AU,25
BI,TD,2
BT,ID,1
CM,TR,568
CN,SR,60
CY,HR,550
CZ,GR,11328
EE,BA,28
FI,BO,57
HK,IL,4932
ID,TZ,49
IE,SZ,2755
IM,KZ,125
IT,NULL,151
IT,DZ,236
JO,NI,30
KM,TW,1
KZ,GW,2
MZ,PT,4553
NI,BT,2
PK,IQ,10
PR,BQ,15
RU,HN,18
TN,XK,1
TZ,LK,216
NULL,LB,1739
AE,SV,1850
AL,LV,3
AU,CV,3
BG,VE,7
BJ,SE,87
BM,PE,186
BR,KE,185
BS,JE,184
BT,IE,1
BY,DE,3446
CL,US,509784
CN,SS,2
CO,RS,18
DZ,LB,520
EE,BB,48
HK,IM,3227
HR,BM,7
LR,TG,66
LS,SG,34
MD,CG,1
ME,BG,202
MX,RU,839
NC,HU,4
OM,CD,2
PA,SR,143
PH,LR,13
PK,IR,73
PL,HR,5190
PR,BR,1031
PS,AR,34
RO,NO,1581
RS,JO,11
VG,NULL,154
ZM,PT,53
AD,TW,13
AF,RW,1
AM,KW,48
AU,CW,47
AW,AW,66
CH,YT,19
CN,ST,2
CY,HT,18
CZ,GT,83
HK,IN,90556
HR,BN,8
JE,XK,161
JM,PK,52
JP,MK,17
KZ,GY,3
LR,TH,225
LV,PH,600
MD,CH,265
PH,LS,4
PK,IS,9
PR,BS,229
RO,NP,14
RS,JP,56
TR,TM,1726
TW,OM,123
AE,SX,45
BG,VG,4
BH,UG,107
BI,TG,20
BJ,SG,1064
BR,KG,1
CK,VU,5
CO,RU,320
CY,HU,1641
EE,BD,105
FI,BR,1003
GB,NA,1235
GI,GA,4
GM,CA,54
HR,BO,51
JM,PL,183
JO,NL,2741
JP,ML,45
KM,TZ,6
LS,SI,1
MA,FI,278
MV,TW,342
MX,RW,8
PH,LT,95
PK,IT,1709
PL,HT,84
PS,AT,194
TP,VN,354
TR,TN,4082
YE,TH,61
AM,KY,57
AU,CY,2307
BI,TH,38
BM,PH,122
BR,KH,14
BZ,CH,17
CN,SV,291
EC,DE,5507
EE,BE,139
FI,BS,29
FJ,AS,1
GI,GB,3692
JP,MM,87
MC,DJ,7
NZ,UG,637
OM,CG,1
PG,MU,21
PH,LU,3962
PL,HU,24262
PS,AU,456
RU,HR,804
RW,FR,863
SL,VA,1
SM,UA,7
SR,PA,536
ST,NA,4
TR,TO,2
TT,RO,7
AD,TZ,6
AE,SZ,70
AM,KZ,1024
AT,NULL,361
AT,DZ,43
AU,CZ,6561
BO,NI,3
BW,FI,19
CG,ZW,7
CM,TW,118
CZ,GW,2
GB,NC,372
HK,IQ,1105
HR,BQ,1
JP,MN,566
LV,PK,349
MC,DK,105
MU,UY,176
MZ,PY,14
NI,BY,23
OM,CH,790
PA,SV,10358
PH,LV,191
SV,LB,17
BY,DJ,3
CN,SX,1
EE,BG,229
FJ,AU,2514
GG,ID,58
GM,CD,4
GN,BD,20
HK,IR,13
HN,FR,704
HR,BR,132
ID,UA,215
IL,MA,654
IM,LA,68
JO,NO,237
JP,MO,491
LV,PL,28552
LY,ML,2
MU,UZ,44
MV,TZ,21
MW,SZ,144
NG,NULL,68
NG,DZ,61
NI,BZ,2
OM,CI,5
PG,MW,6
RU,HT,1
SN,TC,8
SV,LC,32
BE,XK,16
BJ,SK,1
BM,PK,60
BY,DK,327
CL,UY,5210
CN,SY,6
CV,KY,7
CZ,GY,1
EE,BH,37
GB,NE,1274
GE,KE,104
GG,IE,233
GI,GE,33
GL,DE,12
GN,BE,304
HK,IS,1555
HR,BS,14
IM,LB,691
IR,GB,5
JO,NP,35
JP,MP,13
PA,SX,25
RU,HU,6352
SN,TD,65
TR,TR,5925653
TZ,LR,22
UA,FR,2013
UZ,QA,2
NULL,LI,2
BJ,SL,11
BM,PL,149
BO,NL,159
BZ,CL,18
CL,UZ,1
CM,TZ,28
CN,SZ,22
CV,KZ,3
DZ,LI,1
FI,BW,30
GN,BF,96
HK,IT,20966
HR,BT,1
IE,TC,477
IL,MC,77
IM,LC,67
IT,EC,6460
JP,MQ,4
LR,TN,116
MD,CN,1119
PG,MY,418
PR,BY,3
TO,WS,1
TT,RS,24
TZ,LS,20
VE,GB,316
BN,OM,7
BS,JM,401
BT,IM,18
EE,BJ,8
GB,NG,134421
GE,KG,182
GI,GG,5
GN,BG,11
IE,TD,1907
IL,MD,175
JM,PR,814
JP,MR,182
KH,ZA,27
KR,PA,1422
LA,BA,1
LT,RO,503
MC,DO,72
MD,CO,2
OM,CL,21
PF,NZ,226
PG,MZ,9
PR,BZ,19
PS,AZ,5
TR,TT,38
TZ,LT,75
YE,TN,11
NULL,LK,65
BG,VN,192
BI,TN,42
BJ,SN,23
BR,KN,2
BT,IN,6
BZ,CN,103
EC,DK,288
FI,BY,840
GE,KH,38
GI,GH,17
GM,CH,25
GN,BH,7
IL,ME,118
IN,KE,6876
IT,EE,68
OM,CM,6
SL,VG,1
SM,UG,3
SN,TG,1644
ST,NG,172
TT,RU,4
TZ,LU,153
VC,ID,2
AD,UA,1
AF,SA,86
AI,PA,26
AL,MA,2
BJ,SO,1
BO,NO,41
BS,JO,3
BY,DO,7
BZ,CO,40
FI,BZ,2
GB,NI,2753
GD,LI,5
GI,GI,237
GM,CI,25
GN,BI,24
HR,BW,6
JM,PT,56
JP,MT,1405
OM,CN,9032
QA,XK,4
SN,TH,33
SR,PH,15
TZ,LV,97
VA,KE,160
VC,IE,22
VE,GE,1
AM,LB,285
AR,GB,12087
AW,BB,10
BS,JP,393
EE,BM,5
GN,BJ,54
ID,UG,81
IE,TG,2337
IL,MG,15
IN,KG,313
IT,EG,941
JP,MU,927
KY,ID,82
LA,BD,1
LB,AD,3
LR,TR,754
LV,PR,35
MA,FR,9023
ME,BR,2
MQ,ZA,2
MV,UA,54
MX,SA,1310
MZ,QA,48
NE,GA,3
NI,CA,437
OM,CO,169
RO,NZ,963
SV,LI,22
TR,TW,17708
TT,RW,4
AE,TC,41
AM,LC,2
AT,EC,441
GH,HK,14385
GL,DK,90
HR,BY,55
IE,TH,577648
IN,KH,378
JP,MV,31
KR,PE,335
KW,KE,734
KY,IE,409
LA,BE,7
LB,AE,27498
LT,RS,33
LV,PS,18
NE,GB,966
SN,TJ,1
YE,TR,179
ZM,QA,7
ZW,GA,1
AE,TD,223
BI,TR,191
BM,PR,430
BR,KR,9484
BW,FR,104
BZ,CR,78
CH,ZA,8270
CM,UA,5
CO,SA,124
CR,PA,26129
EC,DO,264
GB,NL,1009978
GG,IL,345
IM,LI,62
IS,FI,12012
JP,MW,427
KR,PF,1
LB,AF,114
LR,TT,1
LV,PT,182
LY,MT,3
MU,VC,78
MX,SC,7
NG,EC,123
SR,PK,1
SV,LK,16
SZ,HK,23
ZW,GB,2611
AF,SE,41
AL,ME,53
AO,JE,76
AR,GE,14
AT,EE,778
AU,DE,33704
AW,BE,48
BH,US,54385
CO,SB,1
CV,LB,19
GG,IM,426
GM,CM,18
IE,TJ,1392
JP,MX,4576
KR,PG,18
KW,KG,644
LB,AG,12
LT,RU,2598
LY,MU,7
NC,ID,15
OM,CR,68
PE,PA,12701
PH,MA,50
PR,CA,1364
PS,BA,23
SR,PL,2
ST,NL,41
TR,TZ,804
BJ,ST,1
BM,PT,505
BT,IT,1
CL,VC,1
CN,TC,2
CV,LC,1
GE,KN,5
GG,IN,310
GH,HN,11
GI,GN,1
GM,CN,334
IE,TK,21
IL,MK,160
IM,LK,150
IQ,HK,456
JM,PY,2
JP,MY,17682
KN,TH,2
KR,PH,9389
KW,KH,109
MX,SE,2002
MY,RE,17
NA,KE,194
NC,IE,38
NG,EE,432
NZ,US,215019
PS,BB,4
SS,OM,1
SX,JM,62
AD,UG,5
AE,TG,384
AF,SG,665
AR,GG,3
AT,EG,857
AW,BG,4
BQ,LU,8
CN,TD,20
CY,ID,2912
EE,BR,37
FI,CA,5119
FJ,BA,1
GB,NO,90518
GM,CO,18
GN,BO,43
IE,TL,1983
IL,ML,237
JO,NZ,612
JP,MZ,441
LB,AI,4
LR,TW,214
LT,RW,8
PA,TC,12
PH,MC,4
SL,VN,39
SN,TN,103
US,XK,8013
ZW,GE,1
AE,TH,27207
AI,PH,4
AR,GH,12
CL,VE,60
CO,SE,578
CR,PE,1956
CW,KE,7
CY,IE,3297
EE,BS,1
GB,NP,4983
IE,TM,756
IL,MM,65
IN,KM,68
MU,VG,573
MV,UG,38
MW,TG,18
MX,SG,5842
NG,EG,3096
PH,MD,2
PL,ID,1945
PS,BD,64
PT,AD,4
RW,GA,4
SN,TO,7
SX,JO,8
YE,TW,76
NULL,LT,24
AF,SI,6
AM,LI,52
AR,GI,1
BI,TW,3
BR,KW,24
BZ,CW,1
CR,PF,1
GG,IQ,19
IE,TN,227958
IL,MN,13
IN,KN,8
KR,PK,4682
KZ,HK,7175
LV,PY,90
LY,MY,173
MD,CY,390
ME,BY,20
MW,TH,128
NE,GH,312
NI,CH,319
PE,PE,928
PH,ME,90
PK,JE,67
PL,IE,22841
PS,BE,208
PT,AE,2592
RW,GB,3463
VC,IM,7
ZW,GG,4
NULL,LU,254
AE,TJ,425
AU,DJ,31
CL,VG,4
CM,UG,91
CN,TG,170
CO,SG,1827
DZ,LU,17
FI,CD,45
FJ,BD,17
GE,KR,1198
GH,HR,42
GI,GR,4
GN,BR,138
HR,CA,983
IE,TO,931
IL,MO,327
IS,FO,319
KR,PL,4463
KY,IL,150
LB,AL,8
LR,TZ,97
LS,SZ,4
MC,NULL,5
MD,CZ,587
MX,SI,222
NE,GI,20
OM,CW,4
VC,IN,15
VI,CN,5
ZW,GH,75
NULL,LV,33
AF,SK,20
AI,PK,1
AL,MK,59
AM,LK,149
AQ,HK,1
AU,DK,4279
BH,UY,60
BM,PY,14
BR,KY,6646
BZ,CY,8
CN,TH,46756
CR,PH,300
DZ,LV,3
FJ,BE,18
GG,IS,60
GN,BS,2
HN,GB,1281
IE,TP,53
KH,ZM,1
KY,IM,1654
LA,BM,2
LB,AM,453
PA,TG,10
PG,NG,33
PH,MG,8
PS,BG,327
PT,AG,44
RU,ID,4814
SN,TR,833
SR,PR,259
TR,UA,4525
TT,SA,45
TW,PA,1751
TZ,MA,41
UY,RO,83
YE,TZ,1
AE,TL,13
AI,PL,14
BH,UZ,9
BI,TZ,1298
BJ,SZ,1
BO,NZ,8
BR,KZ,27
BY,NULL,6
BY,DZ,4
BZ,CZ,2
CO,SI,81
CV,LI,1
EE,BW,1
FI,CF,4
FJ,BF,7
GG,IT,136
GH,HT,3
KW,KN,9
KY,IN,1138
KZ,HN,2
MX,SK,365
NZ,UY,212
OM,CY,331
PA,TH,773
PE,PH,111
PR,CH,997
PS,BH,161
RS,KE,48
RU,IE,5877
RW,GE,4
SM,US,1282
UA,GB,38278
VE,GP,1
AE,TM,2033
AU,DM,14
CN,TJ,319
FI,CG,6
GD,LU,1
GH,HU,277
HR,CD,71
IE,TR,1171154
IM,LR,32
IN,KR,30210
IQ,HR,22
IS,FR,18824
IT,ER,28
JP,NA,82
LB,AO,12
MX,SL,14
NI,CL,231
OM,CZ,308
SR,PT,9
SV,LT,16
TZ,MC,11
AE,TN,10946
AF,SN,2
CO,SK,92
CR,PK,80
CV,LK,4
CZ,HK,14816
DZ,LY,18
EE,BY,1453
FI,CH,3746
FJ,BH,3
GM,CV,1
HK,JE,3457
HT,AE,53
ID,US,239569
IM,LS,36
IT,ES,26454
MX,SM,10
NC,IM,10
NE,GM,3
NI,CM,4
PS,BJ,3
RS,KG,19
RW,GG,1
SV,LU,103
TZ,MD,11
UG,AD,4
VA,KR,1
AE,TO,1
AO,JO,16
AU,DO,391
CN,TL,20
CR,PL,180
CY,IL,12520
EC,NULL,26
FI,CI,68
GE,KW,65
IE,TT,46125
IL,MT,131
IM,LT,74
IQ,HT,2
IT,ET,882
JP,NC,30
MU,VN,1208
MW,TN,3
MX,SN,53
NC,IN,23
NE,GN,10
NI,CN,2305
PE,PK,209
PH,MK,2
PM,HK,2
PR,CK,28
RS,KH,6
RW,GH,331
SV,LV,24
TN,YE,24
TT,SE,104
TW,PE,709
UA,GE,7014
UG,AE,11472
UY,RS,2
VC,IS,45
ZW,GM,1
AO,JP,11
CH,ZM,1846
CN,TM,209
CO,SM,9
CY,IM,686
FJ,BJ,16
IL,MU,923
IM,LU,948
IQ,HU,51
KN,TR,1
KR,PR,193
KW,KR,4778
KZ,HR,183
LB,AR,148
LR,UA,26
LT,SA,32
LV,QA,39
MA,GA,32
ME,CA,97
MY,RO,659
NI,CO,924
PE,PL,2068
PG,NL,4
PH,ML,3
PL,IL,4672
PR,CL,674
PT,AL,2
SN,TW,34
TW,PF,19
UG,AF,1
VE,GT,21
ZW,GN,5
CL,VN,215
CN,TN,822
CO,SN,8
CY,IN,12917
CZ,HN,47
ES,XK,1
GE,KY,14
GM,CY,6
GN,BY,39
HN,GH,24
HR,CH,1144
IE,TV,74
IL,MV,47
IM,LV,297
JE,YE,1
JP,NE,14
KM,US,33
KR,PS,314
KY,IS,6
MA,GB,25780
PA,TM,6
PH,MM,129
PK,JM,4
PL,IM,168
PR,CM,2
PS,BM,4
PT,AM,61
TR,UG,641
TT,SG,247
TW,PG,7
TZ,MG,58
UY,RU,159
YE,UA,2
AE,TR,62105
AI,PR,78
AR,GR,84
AT,ER,1
AW,BR,16
BD,ZA,53
BI,UA,1
BM,QA,11
BN,PA,6
BR,LA,2
CN,TO,1
FI,CL,517
GB,NZ,247506
GE,KZ,2647
GM,CZ,3
HR,CI,6
IE,TW,59092
IL,MW,26
IN,KW,2275
KN,TT,89
KR,PT,396
KY,IT,218
LB,AT,271
MC,EC,40
PA,TN,7
PH,MN,159
PL,IN,15292
PR,CN,6057
SR,PY,5
TW,PH,7370
UA,GH,74
AD,US,3286
AI,PS,18
AT,ES,6127
BR,LB,872
BW,GB,4683
FI,CM,39
FJ,BM,3
IL,MX,1184
JP,NG,1565
KZ,HU,3820
LB,AU,1693
MW,TR,259
MX,SR,5
NA,KR,1
NG,ER,1
NI,CR,3916
PA,TO,1
PH,MO,462
PK,JO,132
PR,CO,3185
PS,BO,13
PT,AO,247
RU,IL,12763
SN,TZ,54
TT,SI,23
UY,RW,1
VA,KW,1
AE,TT,1440
AL,MT,1
AM,LT,68
AR,GT,197
AT,ET,181
BR,LC,58
BY,EC,683
CY,IQ,199
FI,CN,4559
ID,UY,64
IL,MY,144
IN,KY,50
LT,SE,96
LY,NE,7
MA,GE,5
MC,EE,8
MD,DE,943
MG,AE,1675
MV,US,2588
MY,RS,184
NG,ES,6486
PK,JP,2950
RO,OM,16
RU,IM,356
RW,GM,15
US,XX,41
ZW,GR,2
NULL,MA,104
AG,RU,3
AM,LU,190
CN,TR,10314
CO,SR,2
CR,PR,1178
CV,LR,2
CW,KR,7
CZ,HR,4179
DM,ZA,25
DZ,MA,415
EE,CA,736
FI,CO,439
HR,CL,106
ID,UZ,117
IE,TZ,17996
IL,MZ,57
IN,KZ,874
JP,NI,129
KN,TW,6
KR,PW,8
KW,KW,81260
LB,AW,2
NC,IT,1
NG,ET,570
NZ,VC,4
PH,MQ,19
PL,IQ,313
RS,KN,2
RU,IN,19021
RW,GN,70
TT,SK,14
TW,PK,3317
TZ,MK,21
AM,LV,490
BE,YE,7
BH,VE,1
BN,PE,13
BS,KE,42
BT,JE,22
BW,GE,5
BY,EE,1867
BZ,DE,29
CM,US,6487
CR,PS,15
CY,IS,560
HK,JM,267
HR,CM,11
LR,UG,428
LS,TG,1
LT,SG,389
LY,NG,7
MC,EG,28
MU,VU,21
MY,RU,1397
PA,TR,818
PE,PR,235
PL,IR,728
PR,CR,1834
PS,BR,592
PT,AR,520
TT,SL,1
TW,PL,3115
TZ,ML,173
UG,AL,4
VA,KZ,1
NULL,MC,1
AE,TW,38792
CN,TT,128
CR,PT,150
CV,LT,1
CY,IT,2282
CZ,HT,5
DZ,MC,1
EC,EC,458
HR,CN,8533
KR,PY,829
KW,KY,549
LA,BY,1
LS,TH,5
MA,GH,136
ME,CH,263
MX,SV,4849
NZ,VE,2
OM,DE,1247
PE,PS,38
PL,IS,4115
UG,AM,48
AL,MX,1
BH,VG,39
BI,UG,1630
BJ,TG,4
BW,GG,32
BY,EG,231
CV,LU,13
CZ,HU,17708
EG,AD,8
FI,CR,35
FJ,BR,3
GA,PA,5
GE,LA,1
GN,CA,837
HK,JO,2474
HR,CO,21
JP,NL,13709
KW,KZ,140
LB,AZ,49
LT,SI,2
MA,GI,6
ME,CI,6
MW,TW,249
MY,RW,24
NE,GW,2
NI,CW,20
PA,TT,762
PE,PT,276
PH,MT,57
PL,IT,107604
PS,BT,3
PT,AT,2702
RU,IQ,60
RW,GQ,2
TT,SN,1
UA,GN,2
UG,AN,1
NULL,ME,2
AD,UY,30
AL,MY,29
BJ,TH,326
BN,PH,133
BS,KH,1
BW,GH,172
CN,TV,3
CO,SV,1223
CV,LV,8
EC,EE,12
EG,AE,16160
GE,LB,214
HK,JP,140737
JO,OM,642
MX,SX,44
NZ,VG,11
PH,MU,387
PT,AU,264
RS,KR,206
RW,GR,38
SI,ZA,135
SN,UA,3
SV,MA,6
TZ,MO,11
UG,AO,233
AE,TZ,9068
AL,MZ,1
AU,NULL,3185
AU,DZ,48
BR,LI,236
CH,ZW,1037
CN,TW,205441
EE,CF,6
EG,AF,2
GE,LC,8
LT,SK,858
MD,DK,9
MV,UY,3
NA,KY,1
NI,CY,13
PH,MV,35
QA,YE,24
RU,IS,1440
CO,SX,1
DZ,MG,2
EC,EG,64
GH,ID,481
GN,CD,201
HN,GR,21
HR,CR,27
HT,AR,31
IE,UA,75440
IL,NA,220
IM,MA,135
IN,LA,57
JP,NO,5324
LY,NL,7
ME,CL,5
MV,UZ,17
MW,TZ,3235
NI,CZ,11
PA,TW,3637
PH,MW,2
PR,CW,440
PT,AW,122
RU,IT,11103
RW,GT,11
SV,MC,12
BN,PK,77
BR,LK,259
CM,UY,65
CR,PY,246
CW,KY,275
EE,CH,1388
FI,CV,26
GA,PE,3
GG,JE,1910
GH,IE,624
GM,DE,34
GP,AE,3
IN,LB,900
IS,GB,55653
JP,NP,655
MA,GM,4
ME,CM,1
OM,DJ,2
PH,MX,347
TT,SR,107
TW,PR,409
TZ,MR,2
UA,GR,174
UG,AR,20
UY,SA,41
BN,PL,9
CN,TZ,2392
CO,SZ,6
CW,KZ,2
EE,CI,2
FI,CW,4
GA,PF,1
GN,CF,14
HN,GT,11120
HT,AT,18
IL,NC,1
IM,MC,89
IN,LC,239
LS,TN,2
LT,SN,2
MA,GN,78
ME,CN,277
OM,DK,468
PE,PY,490
PH,MY,19029
PR,CY,51
PS,BY,107
SZ,IE,7
TC,AE,17
TR,US,952563
TW,PS,17
VA,LB,35
BD,ZM,1
BZ,DM,1
GA,PG,2
GN,CG,22
HT,AU,4
IM,MD,7
IQ,ID,126
KR,QA,634
KW,LA,5
LA,CA,151
LB,BA,40
LU,RO,2082
ME,CO,4
PA,TZ,42
PG,NZ,1137
PH,MZ,19
PR,CZ,40
PS,BZ,1
PT,AZ,19
RS,KW,8
TW,PT,635
TZ,MT,31
UA,GT,4
UG,AT,371
UY,SC,1
NULL,MK,3
BH,VN,104
BJ,TN,57
BS,KN,8
EE,CK,1
FI,CY,460
GA,PH,170
GN,CH,430
ID,VE,100
IL,NE,12
IM,ME,2
IQ,IE,101
IS,GE,83
KW,LB,15012
LB,BB,2
OM,DM,10
SN,UG,37
SV,MG,1
TZ,MU,4751
UA,GU,1
UG,AU,1450
NULL,ML,71
AE,UA,12466
AG,SA,3
AM,MA,21
AW,CA,248
BT,JO,1
BZ,DO,10
DZ,ML,17
